"Name","Area","Density","Population","Lat","Lng","log","logM","sqrtM","sqrt"
"East Dunbartonshire",174.49,619.7,108130,55.9582901,-4.22417021,6.42923548996806,4.25334805001997,21.925609906176,24.8937743221071
"East Hampshire",514.43,232.09,119392,51.05765152,-0.93971002,5.447125227475,3.27123778752691,12.2663359040662,15.2345003199974
"East Hertfordshire",475.67,309.21,147080,51.86484909,0.002739,5.73402065771681,3.55813321776872,14.6162036420913,17.5843680580224
"East Lindsey",1765,79.16,139718,53.26483154,0.020549,4.37147112073437,2.19558368078628,5.92902615188292,8.89719056781409
"East Lothian",679.18,154.36,104840,55.94207001,-2.72434998,5.03928753666942,2.86340009672133,9.45600557646672,12.4241699923979
"East Northamptonshire",509.79,182.69,93135,52.47909164,-0.50919998,5.20779072734848,3.03190328740039,10.5481220563215,13.5162864722527
"East Renfrewshire",174.25,543.82,94760,55.74868011,-4.36059999,6.29861830974936,4.12273086980127,20.3517841260361,23.3199485419672
"East Riding of Yorkshire",2405.32,140.55,338061,53.88122177,-0.66202998,4.94556329735254,2.76967585740445,8.88721411029059,11.8553785262218
"East Staffordshire",386.96,303.79,117552,52.8365097,-1.81438005,5.71633667322755,3.54044923327946,14.4614081548464,17.4295725707775
"Eastbourne",44.16,2338.14,103251,50.77413177,0.258699,7.75711102047878,5.5812235805307,45.3861528680508,48.354317283982
"Eastleigh",79.76,1636.05,130498,50.94871902,-1.32942998,7.40004007904286,5.22415263909477,37.4799504968803,40.4481149128114
"Eden",2142.37,24.64,52779,54.63106918,-2.62678003,3.20437113866532,1.02848369871723,1.99570504246518,4.96386945839634
"Elmbridge",95.05,1434.78,136379,51.36098099,-0.39441001,7.268766806336,5.09287936638791,34.910325522291,37.8784899382222
"Enfield",80.83,4116.05,332705,51.64888,-0.08147,8.32264924459639,6.1467618046483,61.1882849870712,64.1564494030023
"Epping Forest",338.98,385.2,130576,51.71279144,0.154147,5.95376267992397,3.77787523997588,16.6583482646242,19.6265126805554
"Epsom and Ewell",34.08,2331.35,79451,51.33945084,-0.26172,7.7542027779145,5.57831533796641,45.3158909232799,48.2840553392111
"Erewash",109.63,1051.85,115314,52.9382019,-1.35090005,6.95830579758004,4.78241835763195,29.4640726330299,32.432237048961
"Exeter",47.04,2740.39,128916,50.71780014,-3.51372004,7.91585552501977,5.73996808507168,49.3805700482371,52.3487344641683
"Falkirk",297.37,538.5,160130,55.99604034,-3.77060008,6.28878749659644,4.11290005664836,20.2374383558134,23.2056027717446
"Fareham",74.24,1565.46,116219,50.85393143,-1.23741996,7.35593498949784,5.18004754954975,36.5977299882144,39.5658944041456
"Fenland",546.45,184.42,100776,52.53543854,0.009016,5.217215765111,3.04132832516291,10.6119681312865,13.5801325472176
"Fermanagh and Omagh",2864.03,40.6,116289,54.38520813,-7.52710009,3.70376806660769,1.5278806266596,3.40364851289843,6.3718129288296
"Fife",1325.03,280.3,371410,56.23117065,-2.98235011,5.63586045817074,3.45997301822265,13.7739979294769,16.7421623454081
"Flintshire",437.49,354.65,155155,53.21498108,-3.17604995,5.8711313876481,3.69524394770001,15.8639889394342,18.8321533553654
"Forest Heath",377.71,173.47,65523,52.33330917,0.52760601,5.15600467377332,2.98011723382523,10.2026366227301,13.1708010386612
"Forest of Dean",526.29,163.33,85957,51.81248856,-2.47755003,5.09577269406505,2.91988525411696,9.81189818172461,12.7800625976558
"Fylde",165.77,475.74,78863,53.79710007,-2.91901994,6.16487148651236,3.98898404656427,18.8433004592211,21.8114648751522
"Gateshead",142.36,1421.89,202419,54.93119812,-1.6868,7.25974225153422,5.08385481158613,34.7397923041034,37.7079567200346
"Gedling",119.98,976.22,117128,53.02434158,-1.11907005,6.88368797084818,4.70780053090009,28.2763551034982,31.2445195194293
"Glasgow City",174.71,3554.67,621020,55.87649155,-4.21478987,8.17601751092443,6.00013007097634,56.6528889125702,59.6210533285013
"Gloucester",40.55,3183.07,129083,51.84640884,-2.23263001,8.06560141887188,5.88971397892379,53.4505381568859,56.4187025728171
"Gosport",25.36,3372.05,85509,50.80641174,-1.16725004,8.12327614700707,5.94738870705898,55.1011906691738,58.0693550851049
"Gravesham",99.02,1071.71,106121,51.39649963,0.39874399,6.97701078264491,4.80112334269682,29.7688177296485,32.7369821455796
"Great Yarmouth",174.47,569.82,99417,52.68439865,1.64949596,6.34532052148292,4.16943308153483,20.9027383738671,23.8709027897983
"Greenwich",47.33,5975.6,282849,51.46395874,0.050108,8.69543979016816,6.51955235022007,74.3338407327065,77.3020051486376
"Guildford",270.93,545.44,147777,51.25365829,-0.56256998,6.30159280838959,4.1257053684415,20.3864925072608,23.354656923192
"Gwynedd",2534.93,48.81,123742,52.89825821,-3.8155899,3.88793520989906,1.71204776995097,4.01825097395226,6.98641538988343
"Hackney",19.05,14485.07,275929,51.5549202,-0.06045,9.58087374277721,7.40498630282912,117.385771955091,120.353936371022
"Halton",79.08,1613.41,127595,53.33423996,-2.68852997,7.38610523057465,5.21021779062657,37.1991108215056,40.1672752374368
"Hambleton",1311.23,69.19,90718,54.30871964,-1.34048998,4.23685634351072,2.06096890356263,5.34988824079084,8.318052656722
"Hammersmith and Fulham",16.4,11160.05,182998,51.48736954,-0.21736,9.320095716212,7.14420827626392,102.672973404522,105.641137820453
"Harborough",591.8,154.55,91461,52.53765869,-0.90228999,5.04051766857813,2.86463022863004,9.46364961099186,12.431814026923
"Haringey",29.6,9163.5,271224,51.58771133,-0.10667,9.12298348075793,6.94709604080984,92.7580075539121,95.7261719698432
